"Sp","Limb_width","Limb_length","Observer","Volume"
"V. lagopus",7.68216269626282,51.4235984184779,"Bella",2383.52299509913
"V. lagopus",4.22933196136728,53.0551138753071,"Grace",745.35072996809
"C. familiaris",5.36570730688982,58.2570024440065,"Chris",1317.32208688992
"V. lagopus",3.95780435600318,37.4411585438065,"Chris",460.625317286486
"C. familiaris",5.91610984946601,57.3221141472459,"Bella",1575.73992721646
"C. lupus",5.29736594948918,48.8358627073467,"Grace",1076.33805828731
"C. familiaris",5.33717023977078,53.2839095592499,"Chris",1192.0873386535
"V. lagopus",4.99916277779266,54.5341330650263,"Grace",1070.4166381054
"V. vulpes",5.52642798121087,38.2057591318153,"Chris",916.447823862336
"C. familiaris",3.15944077982567,39.6538896183483,"Bella",310.882383914764
"C. familiaris",3.57233794010244,59.8931374121457,"Bella",600.305077887743
"V. lagopus",5.34467737958767,45.0562510010786,"Bella",1010.85281298339
"C. latrans",4.98493368807249,51.7541614570655,"Chris",1010.0757129445
"C. familiaris",7.16809597052634,57.7957833744586,"Chris",2332.34965582074
"C. lupus",6.80560871679336,58.3934961003251,"Grace",2124.16530644659
"V. lagopus",5.86678224452771,53.2253583404236,"Chris",1438.82645133052
"C. latrans",5.23754022968933,39.9275229172781,"Grace",860.234770425729
"C. familiaris",3.41901004035026,54.9905364098959,"Grace",504.868866094674
"V. vulpes",4.09569273656234,57.3573470092379,"Grace",755.672595197856
"C. familiaris",3.3778514591977,50.4083453142084,"Chris",451.724263221565
"C. lupus",5.67213392187841,50.430766493082,"Bella",1274.31971693327
"C. familiaris",6.20678288349882,42.1443974040449,"Grace",1275.154587015
"V. vulpes",5.6286965876352,50.4273330699652,"Bella",1254.7914750052
"V. vulpes",3.1964069402311,55.4729700135067,"Chris",445.138778623914
"C. familiaris",5.72929919883609,49.6218409133144,"Chris",1279.280438332
"V. vulpes",4.86381548643112,37.830646187067,"Chris",702.890742311657
"C. familiaris",7.80651207268238,36.9763367646374,"Bella",1769.81485579898
"V. lagopus",4.28670784528367,32.8214811324142,"Bella",473.691758170521
"V. vulpes",4.03975841659121,52.2947928006761,"Grace",670.284407704514
"C. latrans",7.30691219866276,49.2386984685436,"Grace",2064.73454325954
"V. lagopus",5.32195991324261,56.7080691014417,"Chris",1261.47294106412
"V. vulpes",4.11433716723695,52.9380230256356,"Bella",703.813119047731
"V. lagopus",6.11774800764397,55.0434013875201,"Grace",1617.99923903673
"V. lagopus",4.01823850302026,59.8057701601647,"Chris",758.410593107522
"C. familiaris",3.09836706798524,57.297080042772,"Bella",432.004337597624
"V. lagopus",6.98996502975933,34.8692078213207,"Grace",1338.07965764287
"C. lupus",4.37159448349848,55.6609707302414,"Grace",835.449870538723
"C. latrans",3.83304552012123,41.0247990489006,"Grace",473.395687678836
"C. latrans",3.85075859096833,53.9680925547145,"Bella",628.52062835014
"C. familiaris",5.442529683467,56.8540012417361,"Grace",1322.67312315133
"C. familiaris",6.55704538640566,30.3641742677428,"Chris",1025.33961286608
"C. latrans",5.95967460726388,33.8875644025393,"Chris",945.312354756772
"V. lagopus",5.58578438428231,32.7431657421403,"Bella",802.377760751609
"C. latrans",4.90813842928037,58.2168598403223,"Bella",1101.46896215289
"C. latrans",7.17389164795168,34.0163778467104,"Bella",1374.95211750163
"C. familiaris",4.24504025327042,52.8158769244328,"Grace",747.511712494549
"V. vulpes",5.70300513948314,38.3588112797588,"Grace",979.856656859258
"C. lupus",6.71919701807201,54.7477306472138,"Chris",1941.29150594568
"C. lupus",3.15005927532911,34.8073776508681,"Chris",271.268045804454
